id,sexo,edad,ent,p1_riesgo,p2_riesgo,p3_riesgo,p4_riesgo,p5_ansiedad,p6_ansiedad,p7_sintomas,p8_sintomas,p9_sintomas,p10_sintomas,p11_sintomas,p12a_sintomas,p12b_sintomas,p12c_sintomas,p12d_sintomas,p12e_sintomas,p12f_sintomas,p13_sintomas,p14_sintomas,p15_cuarentena,p16_cuarentena,p17_economia,p18_economia,p19_economia,p20_economia,p21_economia,p22_economia,p23_economia,p24_economia,p25_economia,p26_economia,p27_economia,p28_economia,p29_economia,p29a_economia,p30_economia,p31_economia,p32_economia,p32a_economia,p33_economia,p34_economia,p35_cuarentena,p36_cuarentena,p37_expectativas,p38_expectativas,p39_expectativas,p40_depresion,p41_depresion,p42_depresion,p43_depresion,p44_depresion,p45_depresion,p46_depresion,p47_alimentacion,p48_alimentacion,p49_alimentacion,p50_alimentacion,p51_alimentacion,p52_alimentacion,p53_alimentacion,p54_alimentacion,p55_socio,p56_socio,p57_socio,p58_socio,p60_socio,p60g_socio,p61_socio,p62_socio,p63_socio,p64_socio,p65_socio,p66_socio,p67_socio,p68_socio,nse,gpo_edad3,gpo_edad4,gpo_edad5,factor_i,factor_i_n,factor_h,factor_h_n,factor_i_pop,factor_i_pop_n,factor_h_pop,factor_h_pop_n
336,1,43,21,3,1,1,9,1,1,0,,,,,,,,,,,,,0,21,-1,-50,1,0,100,1,1,999,1,1,99998,0,,,,,8,.a,8,8,,,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,7,1,1,2,3,6,1,3,0,0,0,1,4500,,2,2,3,3,70724.92629797391,.8551808,32474.494,.86943132,70724.92629802335,.8551808,28417.873,.86943144
51,1,60,15,3,3,9,0,0,1,0,,,,,,,,,,,,,1,,-1,-50,0,0,998,2,1,50,1,0,700,0,,,,,1,9999,1,0,1,9,2,2,2,0,0,1,0,0,9,0,1,0,0,1,0,1,0,1,8,0,2,3,5,2,2,4,0,1,2,,999999,9,4,3,4,5,88453.92181905388,1.0695535,37542.52,1.0051162,88453.92181911571,1.0695535,32852.813,1.0051163
337,0,30,21,3,3,2,2,1,0,0,,,,,,,,,,,,,0,13,-1,-60,1,1,100,1,1,60,1,0,4500,1,8,.a,8,8,,,,,,,2,3,2,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,8,1,1,1,4,3,1,3,0,0,2,2,2800,,2,2,2,2,94103.03231049137,1.1378605,43208.93,1.1568216,94103.03231055716,1.1378605,37811.395,1.1568217
52,0,43,15,4,4,2,8,0,0,0,,,,,,,,,,,,,0,10,-1,-50,1,1,50,1,0,998,2,0,99999,1,1,9999,0,0,,,,,,,1,1,1,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,4,2,0,0,3,6,1,2,0,0,2,,999999,1,2,2,3,3,100634.1368441687,1.2168324,42712.168,1.143522,100634.1368442391,1.2168324,37376.688,1.1435221
338,0,55,21,4,2,1,0,0,0,0,,,,,,,,,,,,,1,,-1,-100,1,0,100,1,0,998,2,1,99998,1,8,.a,8,8,,,,,,,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,7,,3,3,2,1,0,4,65000,,7,3,4,4,65869.60469437583,.79647195,30245.096,.80974418,65869.60469442187,.79647195,26466.963,.8097443
339,1,25,21,3,4,2,8,0,0,0,,,,,,,,,,,,,0,10,-1,-40,1,1,70,1,0,998,4,0,14000,1,1,9521,0,0,,,,,,,2,2,1,0,1,9,9,0,9,1,1,1,1,0,0,0,0,0,4,1,1,0,5,3,1,1,0,1,2,2,999999,3,4,1,2,2,82320.20561042592,.99538684,37798.656,1.0119737,82320.20561048346,.99538684,33076.953,1.0119739
53,0,24,13,3,3,3,0,3,1,0,,,,,,,,,,,,,1,,-1,-50,1,0,20,1,0,998,2,0,4000,1,2,9899,0,0,,,,,,,2,2,2,0,1,2,3,0,1,2,0,0,0,0,0,0,0,1,6,2,1,2,5,3,1,4,1,0,0,,6500,,2,1,1,1,118264.7872185478,1.430016,54053.809,1.4471688,118264.7872186305,1.430016,47301.563,1.4471689
340,1,55,21,2,2,2,8,2,2,0,,,,,,,,,,,,,1,,-1,-90,1,1,100,1,0,998,2,1,99998,0,,,,,5,.a,8,8,,,2,1,1,1,1,1,1,0,2,1,1,0,0,0,0,0,0,0,2,0,0,1,3,3,1,2,0,0,1,1,4800,,2,3,4,4,77470.82017984269,.93674976,35571.98,.95235956,77470.82017989685,.93674976,31128.43,.95235968
54,0,34,15,2,2,3,5,0,0,0,,,,,,,,,,,,,0,11,-1,-50,0,0,998,3,1,50,1,0,6000,0,,,,,1,5413,1,0,1,9,2,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,5,3,2,3,0,1,0,,999999,9,4,2,2,2,107444.0962881904,1.299176,45602.523,1.2209046,107444.0962882655,1.299176,39905.984,1.2209048
341,0,62,21,4,2,1,5,0,0,0,,,,,,,,,,,,,1,,-1,-50,1,3,999,1,0,998,2,0,4000,1,1,6111,1,0,,,,,,,3,4,4,0,0,0,0,0,9,0,1,0,1,1,0,0,0,1,7,2,0,0,3,6,0,2,0,0,7,6,4000,,1,3,4,5,77926.69588557859,.94226205,35781.305,.95796365,77926.69588563307,.94226205,31311.605,.95796376
